movieId,title,genres,director
m33,Wings of Courage (1995),"['Adventure', 'Romance']",
m34,Babe (1995),"[""Children's"", 'Comedy', 'Drama']",a0003088
m35,Carrington (1995),"['Drama', 'Romance']",
m36,Dead Man Walking (1995),['Drama'],a0000209
m37,Across the Sea of Time (1995),['Documentary'],
m38,It Takes Two (1995),['Comedy'],a0855035
m39,Clueless (1995),"['Comedy', 'Romance']",a0002132
m40,"Cry, the Beloved Country (1995)",['Drama'],a0740213
m41,Richard III (1995),"['Drama', 'War']",a0518644
m42,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",a0400441
m43,Restoration (1995),['Drama'],a0001355
m44,Mortal Kombat (1995),"['Action', 'Adventure']",a0027271
m45,To Die For (1995),"['Comedy', 'Drama']",a0001814
m46,How to Make an American Quilt (1995),"['Drama', 'Romance']",a0602104
m47,Seven (Se7en) (1995),"['Crime', 'Thriller']",a0000399
m48,Pocahontas (1995),"['Animation', ""Children's"", 'Musical', 'Romance']",a0325196
m49,When Night Is Falling (1995),"['Drama', 'Romance']",a0005390
m50,"Usual Suspects, The (1995)","['Crime', 'Thriller']",a0001741
m51,Guardian Angel (1994),"['Action', 'Drama', 'Thriller']",
m52,Mighty Aphrodite (1995),['Comedy'],a0000095
m53,Lamerica (1994),['Drama'],a0002167
m54,"Big Green, The (1995)","[""Children's"", 'Comedy']",a0805965
m55,Georgia (1995),['Drama'],a0343260
m56,Kids of the Round Table (1995),"['Adventure', ""Children's"", 'Fantasy']",
m57,Home for the Holidays (1995),['Drama'],a0000149
m58,"Postino, Il (The Postman) (1994)","['Drama', 'Romance']",a0873385
m59,"Confessional, The (Le Confessionnal) (1995)","['Drama', 'Mystery']",
m60,"Indian in the Cupboard, The (1995)","['Adventure', ""Children's"", 'Fantasy']",a0000568
m61,Eye for an Eye (1996),"['Drama', 'Thriller']",a0772259
m62,Mr. Holland's Opus (1995),['Drama'],a0378893
m63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),['Comedy'],a0054077
m64,Two if by Sea (1996),"['Comedy', 'Romance']",a0071611
m65,Bio-Dome (1996),['Comedy'],a0089176
m66,Lawnmower Man 2: Beyond Cyberspace (1996),"['Sci-Fi', 'Thriller']",a0542752
m67,Two Bits (1995),['Drama'],
m68,French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']",a0001929
m69,Friday (1995),['Comedy'],a0336620
m70,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']",a0001675
m71,Fair Game (1995),['Action'],a0802617
m72,Kicking and Screaming (1995),"['Comedy', 'Drama']",a0000876
m73,"Misérables, Les (1995)","['Drama', 'Musical']",a0500988
m74,Bed of Roses (1996),"['Drama', 'Romance']",a0325533
m75,Big Bully (1996),"['Comedy', 'Drama']",a0591171
m76,Screamers (1995),"['Sci-Fi', 'Thriller']",a0240995
m77,Nico Icon (1995),['Documentary'],a0644467
m78,"Crossing Guard, The (1995)",['Drama'],a0000576
m79,"Juror, The (1996)","['Drama', 'Thriller']",a0001270
m80,"White Balloon, The (Badkonake Sefid ) (1995)",['Drama'],a0070159
m81,Things to Do in Denver when You're Dead (1995),"['Crime', 'Drama', 'Romance']",a0001219
m82,Antonia's Line (Antonia) (1995),['Drama'],a0331296
m83,Once Upon a Time... When We Were Colored (1995),['Drama'],a0005347
m84,Last Summer in the Hamptons (1995),"['Comedy', 'Drama']",
m85,Angels and Insects (1995),"['Drama', 'Romance']",a0351993
m86,White Squall (1996),"['Adventure', 'Drama']",a0000631
m87,Dunston Checks In (1996),"[""Children's"", 'Comedy']",a0477129
m88,Black Sheep (1996),['Comedy'],a0790715
m89,Nick of Time (1995),"['Action', 'Thriller']",a0000824
m90,"Journey of August King, The (1995)",['Drama'],
m92,Mary Reilly (1996),"['Drama', 'Thriller']",a0001241
m93,Vampire in Brooklyn (1995),"['Comedy', 'Romance']",a0000127
m94,Beautiful Girls (1996),['Drama'],a0001130
m95,Broken Arrow (1996),"['Action', 'Thriller']",a0000247
m96,In the Bleak Midwinter (1995),['Comedy'],a0000110
m97,"Hate (Haine, La) (1995)",['Drama'],a0440913
m98,Shopping (1994),"['Action', 'Thriller']",
m99,Heidi Fleiss: Hollywood Madam (1995),['Documentary'],a0112374
m100,City Hall (1996),"['Drama', 'Thriller']",a0000887
m101,Bottle Rocket (1996),['Comedy'],a0027572
m102,Mr. Wrong (1996),['Comedy'],a0145309
m103,Unforgettable (1996),['Thriller'],a0001093
m104,Happy Gilmore (1996),['Comedy'],a0240797
m105,"Bridges of Madison County, The (1995)","['Drama', 'Romance']",a0000142
m106,Nobody Loves Me (Keiner liebt mich) (1994),"['Comedy', 'Drama']",a0246903
m107,Muppet Treasure Island (1996),"['Adventure', ""Children's"", 'Comedy', 'Musical']",a0485298
m108,Catwalk (1995),['Documentary'],a0494889
m109,Headless Body in Topless Bar (1995),['Comedy'],
m110,Braveheart (1995),"['Action', 'Drama', 'War']",a0000154
m111,Taxi Driver (1976),"['Drama', 'Thriller']",a0000217
m112,Rumble in the Bronx (1995),"['Action', 'Adventure', 'Crime']",a0867262
m113,Before and After (1996),"['Drama', 'Mystery']",a0775447
m114,Margaret's Museum (1995),['Drama'],
m115,Happiness Is in the Field (1995),['Comedy'],
m116,Anne Frank Remembered (1995),['Documentary'],a0086282
m117,"Young Poisoner's Handbook, The (1995)",['Crime'],a0743239
m118,If Lucy Fell (1996),"['Comedy', 'Romance']",a0769703
m119,"Steal Big, Steal Little (1995)",['Comedy'],a0001112
m120,Race the Sun (1996),['Drama'],
m121,"Boys of St. Vincent, The (1993)",['Drama'],a0808807
m122,Boomerang (1992),"['Comedy', 'Romance']",a0399737
m123,Chungking Express (1994),"['Drama', 'Mystery', 'Romance']",a0939182
m124,"Star Maker, The (Uomo delle stelle, L') (1995)",['Drama'],
m125,Flirting With Disaster (1996),['Comedy'],a0751102
m126,"NeverEnding Story III, The (1994)","['Adventure', ""Children's"", 'Fantasy']",a0003423
m127,"Silence of the Palace, The (Saimt el Qusur) (1994)",['Drama'],
m128,Jupiter's Wife (1994),['Documentary'],a0624516
m129,Pie in the Sky (1995),"['Comedy', 'Romance']",a0330057
m130,Angela (1995),['Drama'],
m131,Frankie Starlight (1995),"['Drama', 'Romance']",
m132,Jade (1995),['Thriller'],a0001243
m133,Nueba Yol (1995),"['Comedy', 'Drama']",
m134,Sonic Outlaws (1995),['Documentary'],
m135,Down Periscope (1996),['Comedy'],a0911486
m136,From the Journals of Jean Seberg (1995),['Documentary'],
m137,Man of the Year (1995),['Documentary'],a0787257
m138,"Neon Bible, The (1995)",['Drama'],
m139,Target (1995),"['Action', 'Drama']",
m140,Up Close and Personal (1996),"['Drama', 'Romance']",a0000816
m141,"Birdcage, The (1996)",['Comedy'],a0001566
m142,Shadows (Cienie) (1988),['Drama'],
m143,Gospa (1995),['Drama'],
m144,"Brothers McMullen, The (1995)",['Comedy'],a0122653
m145,Bad Boys (1995),['Action'],a0000881
m146,"Amazing Panda Adventure, The (1995)","['Adventure', ""Children's""]",a0128883
m147,"Basketball Diaries, The (1995)",['Drama'],a0436284
m148,"Awfully Big Adventure, An (1995)",['Drama'],a0001565
m149,Amateur (1994),"['Crime', 'Drama', 'Thriller']",a0001325
m150,Apollo 13 (1995),['Drama'],a0000165
m151,Rob Roy (1995),"['Drama', 'Romance', 'War']",a0001994
m152,"Addiction, The (1995)",['Horror'],a0001206
m153,Batman Forever (1995),"['Action', 'Adventure', 'Comedy', 'Crime']",a0001708
m154,Belle de jour (1967),['Drama'],a0000320
m155,Beyond Rangoon (1995),"['Drama', 'War']",a0000958
m156,Blue in the Face (1995),['Comedy'],a0910905
m157,Canadian Bacon (1994),"['Comedy', 'War']",a0601619
m158,Casper (1995),"['Adventure', ""Children's""]",a0797869
m159,Clockers (1995),['Drama'],a0000490
m160,Congo (1995),"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",a0550881
m161,Crimson Tide (1995),"['Drama', 'Thriller', 'War']",a0001716
m162,Crumb (1994),['Documentary'],a0959062
m163,Desperado (1995),"['Action', 'Romance', 'Thriller']",a0001675
m164,Devil in a Blue Dress (1995),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",a0002083
m165,Die Hard: With a Vengeance (1995),"['Action', 'Thriller']",a0001532
m166,"Doom Generation, The (1995)","['Comedy', 'Drama']",a0000777
m167,Feast of July (1995),['Drama'],
m168,First Knight (1995),"['Action', 'Adventure', 'Drama', 'Romance']",a0958387
m169,Free Willy 2: The Adventure Home (1995),"['Adventure', ""Children's"", 'Drama']",a0514546
m170,Hackers (1995),"['Action', 'Crime', 'Thriller']",a0812200
m171,Jeffrey (1995),['Comedy'],a2259353
m172,Johnny Mnemonic (1995),"['Action', 'Sci-Fi', 'Thriller']",a0519434
m173,Judge Dredd (1995),"['Action', 'Adventure', 'Sci-Fi']",a0134176
m174,Jury Duty (1995),['Comedy'],a0287198
m175,Kids (1995),['Drama'],a0164187
m176,Living in Oblivion (1995),['Comedy'],a0001139
m177,Lord of Illusions (1995),['Horror'],a0000850
m178,Love & Human Remains (1993),['Comedy'],a0000780
m179,Mad Love (1995),"['Drama', 'Romance']",a0000944
m180,Mallrats (1995),['Comedy'],a0003620
m181,Mighty Morphin Power Rangers: The Movie (1995),"['Action', ""Children's""]",a0818465
m182,Moonlight and Valentino (1995),"['Drama', 'Romance']",
m183,Mute Witness (1994),['Thriller'],a0909026
m184,Nadja (1994),['Drama'],a0021899
m185,"Net, The (1995)","['Sci-Fi', 'Thriller']",a0005563
m186,Nine Months (1995),['Comedy'],a0001060
m187,Party Girl (1995),['Comedy'],a0902939
m188,"Prophecy, The (1995)",['Horror'],a0927074
m189,Reckless (1995),['Comedy'],a0720000
m190,Safe (1995),['Thriller'],a0001331
m191,"Scarlet Letter, The (1995)",['Drama'],a0423646
m192,"Show, The (1995)",['Documentary'],
m193,Showgirls (1995),['Drama'],a0000682
m194,Smoke (1995),['Drama'],a0911061
m195,Something to Talk About (1995),"['Comedy', 'Drama', 'Romance']",a0002120
m196,Species (1995),"['Horror', 'Sci-Fi']",a0002044
m197,"Stars Fell on Henrietta, The (1995)",['Drama'],
m198,Strange Days (1995),"['Action', 'Crime', 'Sci-Fi']",a0000941
m199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","['Drama', 'Musical']",a0218840
m200,"Tie That Binds, The (1995)",['Thriller'],
m201,Three Wishes (1995),['Drama'],a0004838
m202,Total Eclipse (1995),"['Drama', 'Romance']",a0002140
m203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",['Comedy'],a0452319
m204,Under Siege 2: Dark Territory (1995),['Action'],a0614276
m205,Unstrung Heroes (1995),"['Comedy', 'Drama']",a0000473
m206,Unzipped (1995),['Documentary'],a0444857
m207,"Walk in the Clouds, A (1995)","['Drama', 'Romance']",a0000778
m208,Waterworld (1995),"['Action', 'Adventure']",a0721817
m209,White Man's Burden (1995),['Drama'],a0620290
m210,Wild Bill (1995),['Western'],a0001353
m211,"Browning Version, The (1994)",['Drama'],a0001214
m212,Bushwhacked (1995),['Comedy'],a0066439
m213,Burnt By the Sun (Utomlyonnye solntsem) (1994),['Drama'],a0586482
m214,Before the Rain (Pred dozhdot) (1994),['Drama'],a0541391
m215,Before Sunrise (1995),"['Drama', 'Romance']",a0000500
m216,Billy Madison (1995),['Comedy'],a0205542
m217,"Babysitter, The (1995)","['Drama', 'Thriller']",a0272704
m218,Boys on the Side (1995),"['Comedy', 'Drama']",a0006889
m219,"Cure, The (1995)",['Drama'],a0005022
m220,Castle Freak (1995),['Horror'],a0002340
m222,Circle of Friends (1995),"['Drama', 'Romance']",a0640466
m223,Clerks (1994),['Comedy'],a0003620
m224,Don Juan DeMarco (1995),"['Comedy', 'Drama', 'Romance']",a0505230
m225,Disclosure (1994),"['Drama', 'Thriller']",a0001469
m226,Dream Man (1995),['Thriller'],
m227,Drop Zone (1994),['Action'],a0000824
m228,Destiny Turns on the Radio (1995),['Comedy'],a0052944
m229,Death and the Maiden (1994),"['Drama', 'Thriller']",a0000591
m230,Dolores Claiborne (1994),"['Drama', 'Thriller']",a0000431
m231,Dumb & Dumber (1994),['Comedy'],a0125803
m232,Eat Drink Man Woman (1994),"['Comedy', 'Drama']",a0000487
m233,Exotica (1994),['Drama'],a0000382
m234,Exit to Eden (1994),['Comedy'],a0005190
m235,Ed Wood (1994),"['Comedy', 'Drama']",a0000318
m236,French Kiss (1995),"['Comedy', 'Romance']",a0001410
m237,Forget Paris (1995),"['Comedy', 'Romance']",a0000345
m238,Far From Home: The Adventures of Yellow Dog (1995),"['Adventure', ""Children's""]",a0097491
m239,"Goofy Movie, A (1995)","['Animation', ""Children's"", 'Comedy', 'Romance']",a0510674
m240,Hideaway (1995),['Thriller'],a0502577
m241,Fluke (1995),"[""Children's"", 'Drama']",a0137363
m242,Farinelli: il castrato (1994),"['Drama', 'Musical']",a0179216
m243,Gordy (1995),['Comedy'],a0507502
m244,Gumby: The Movie (1995),"['Animation', ""Children's""]",
m245,"Glass Shield, The (1994)","['Crime', 'Drama']",
m246,Hoop Dreams (1994),['Documentary'],a0416945
m247,Heavenly Creatures (1994),"['Drama', 'Fantasy', 'Romance', 'Thriller']",a0001392
m248,Houseguest (1994),['Comedy'],a0589168
m249,Immortal Beloved (1994),"['Drama', 'Romance']",a0741262
m250,Heavyweights (1994),"[""Children's"", 'Comedy']",a0109359
m251,"Hunted, The (1995)",['Action'],a0493369
m252,I.Q. (1994),"['Comedy', 'Romance']",a0770961
m253,Interview with the Vampire (1994),"['Drama', 'Horror']",a0001403
m254,Jefferson in Paris (1995),['Drama'],a0412465
m255,"Jerky Boys, The (1994)",['Comedy'],a0577849
m256,Junior (1994),"['Comedy', 'Sci-Fi']",a0718645
m257,Just Cause (1995),"['Mystery', 'Thriller']",a0322865
m258,"Kid in King Arthur's Court, A (1995)","['Adventure', ""Children's"", 'Comedy', 'Fantasy', 'Romance']",a0331998
m259,Kiss of Death (1995),"['Crime', 'Drama', 'Thriller']",a0775447
m260,Star Wars: Episode IV - A New Hope (1977),"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",a0000184
m261,Little Women (1994),['Drama'],a0000788
m262,"Little Princess, A (1995)","[""Children's"", 'Drama']",a0190859
m263,Ladybird Ladybird (1994),['Drama'],a0516360
m264,"Enfer, L' (1994)",['Drama'],
m265,Like Water for Chocolate (Como agua para chocolate) (1992),"['Drama', 'Romance']",a0000778
m266,Legends of the Fall (1994),"['Drama', 'Romance', 'War', 'Western']",a0001880
m267,Major Payne (1994),['Comedy'],a0145309
m268,Little Odessa (1994),['Drama'],
m269,My Crazy Life (Mi vida loca) (1993),['Drama'],a0025978
m270,Love Affair (1994),"['Drama', 'Romance']",a0139111
m271,Losing Isaiah (1995),['Drama'],a0350455
m272,"Madness of King George, The (1994)",['Drama'],a0405336
m273,Mary Shelley's Frankenstein (1994),"['Drama', 'Horror']",a0000110
m274,Man of the House (1995),['Comedy'],a0650561
m275,Mixed Nuts (1994),['Comedy'],a0001188
m276,Milk Money (1994),"['Comedy', 'Romance']",a0000907
m277,Miracle on 34th Street (1994),['Drama'],a0562645
m278,Miami Rhapsody (1995),['Comedy'],a0291205
m279,My Family (1995),['Drama'],a0622695
m280,Murder in the First (1995),"['Drama', 'Thriller']",a0733692
m281,Nobody's Fool (1994),['Drama'],a0000914
m282,Nell (1994),['Drama'],a0000776
m283,New Jersey Drive (1995),"['Crime', 'Drama']",a0327064
m284,New York Cop (1996),"['Action', 'Crime']",a0613498
m285,Beyond Bedlam (1993),"['Drama', 'Horror']",a0419884
m286,Nemesis 2: Nebula (1995),"['Action', 'Sci-Fi', 'Thriller']",
m287,Nina Takes a Lover (1994),"['Comedy', 'Romance']",a0414312
m288,Natural Born Killers (1994),"['Action', 'Thriller']",a0000231
m289,Only You (1994),"['Comedy', 'Romance']",a0422484
m290,Once Were Warriors (1994),"['Crime', 'Drama']",a0848414
m291,Poison Ivy II (1995),['Thriller'],a0258424
m292,Outbreak (1995),"['Action', 'Drama', 'Thriller']",a0000583
m293,"Professional, The (a.k.a. Leon: The Professional) (1994)","['Crime', 'Drama', 'Romance', 'Thriller']",a0000108
m294,"Perez Family, The (1995)","['Comedy', 'Romance']",a0619762
m295,"Pyromaniac's Love Story, A (1995)","['Comedy', 'Romance']",a0104481
m296,Pulp Fiction (1994),"['Crime', 'Drama']",a0000233
m297,Panther (1995),['Drama'],
m298,Pushing Hands (1992),['Comedy'],a0000487
m299,Priest (1994),['Drama'],a0000944
m300,Quiz Show (1994),['Drama'],a0000602
m301,Picture Bride (1995),"['Drama', 'Romance']",a0368981
m302,Queen Margot (La Reine Margot) (1994),"['Drama', 'Romance']",a0161717
m303,"Quick and the Dead, The (1995)","['Action', 'Adventure', 'Western']",a0000600
m304,Roommates (1995),"['Comedy', 'Drama']",a0946811
m305,Ready to Wear (Pret-A-Porter) (1994),['Comedy'],a0000265
m306,Three Colors: Red (1994),['Drama'],a0001425
m307,Three Colors: Blue (1993),['Drama'],a0001425
m308,Three Colors: White (1994),['Drama'],a0001425
m309,"Red Firecracker, Green Firecracker (1994)",['Drama'],
m310,Rent-a-Kid (1995),['Comedy'],a0314104
m311,Relative Fear (1994),"['Horror', 'Thriller']",a0586198
m312,Stuart Saves His Family (1995),['Comedy'],a0000601
m313,"Swan Princess, The (1994)","['Animation', ""Children's""]",a0723704
m314,"Secret of Roan Inish, The (1994)",['Drama'],a0000626
m315,"Specialist, The (1994)",['Action'],a0515891
m316,Stargate (1994),"['Action', 'Adventure', 'Sci-Fi']",a0000386
m317,"Santa Clause, The (1994)","[""Children's"", 'Comedy', 'Fantasy']",a0664756
m318,"Shawshank Redemption, The (1994)",['Drama'],a0001104
m319,Shallow Grave (1994),['Thriller'],a0000965
m320,Suture (1993),"['Film-Noir', 'Thriller']",a0796915
m321,Strawberry and Chocolate (Fresa y chocolate) (1993),['Drama'],a0846119
m322,Swimming with Sharks (1995),"['Comedy', 'Drama']",a0398986
m324,"Sum of Us, The (1994)",['Comedy'],a0235852
m325,National Lampoon's Senior Trip (1995),['Comedy'],a0538614
m326,To Live (Huozhe) (1994),['Drama'],a0955443
m327,Tank Girl (1995),"['Action', 'Comedy', 'Musical', 'Sci-Fi']",a0003080
m328,Tales From the Crypt Presents: Demon Knight (1995),['Horror'],a0225416
m329,Star Trek: Generations (1994),"['Action', 'Adventure', 'Sci-Fi']",a0141222
m330,Tales from the Hood (1995),"['Comedy', 'Horror']",a0192090
m331,Tom & Viv (1994),['Drama'],a0317981
m332,Village of the Damned (1995),"['Horror', 'Sci-Fi']",a0000118
m333,Tommy Boy (1995),['Comedy'],a0781842
m334,Vanya on 42nd Street (1994),['Drama'],a0001501
m335,"Underneath, The (1995)","['Mystery', 'Thriller']",a0001752
m336,"Walking Dead, The (1995)","['Drama', 'War']",a0926211
m337,What's Eating Gilbert Grape (1993),['Drama'],a0002120
m338,Virtuosity (1995),"['Sci-Fi', 'Thriller']",a0502577
m339,While You Were Sleeping (1995),"['Comedy', 'Romance']",a0005509
m340,"War, The (1994)","['Adventure', 'Drama']",a0000816
m341,Double Happiness (1994),['Drama'],a0795803
m342,Muriel's Wedding (1994),"['Comedy', 'Romance']",a0389591
m343,"Baby-Sitters Club, The (1995)","[""Children's""]",a0563039
m344,Ace Ventura: Pet Detective (1994),['Comedy'],a0001723
m345,"Adventures of Priscilla, Queen of the Desert, The (1994)","['Comedy', 'Drama']",a0254632
m346,Backbeat (1993),"['Drama', 'Musical']",a0812200
m347,Bitter Moon (1992),['Drama'],a0000591
m348,Bullets Over Broadway (1994),['Comedy'],a0000095
m349,Clear and Present Danger (1994),"['Action', 'Adventure', 'Thriller']",a0637518
m350,"Client, The (1994)","['Drama', 'Mystery', 'Thriller']",a0001708
m351,"Corrina, Corrina (1994)","['Comedy', 'Drama', 'Romance']",a0625458
m352,Crooklyn (1994),['Comedy'],a0000490
m353,"Crow, The (1994)","['Action', 'Romance', 'Thriller']",a0001639
m354,Cobb (1994),['Drama'],a0005421
m355,"Flintstones, The (1994)","[""Children's"", 'Comedy']",a0505152
m356,Forrest Gump (1994),"['Comedy', 'Romance', 'War']",a0000709
m357,Four Weddings and a Funeral (1994),"['Comedy', 'Romance']",a0001565
m358,Higher Learning (1995),['Drama'],a0005436
m359,I Like It Like That (1994),"['Comedy', 'Drama', 'Romance']",a0552140
m360,I Love Trouble (1994),"['Action', 'Comedy']",a0796124
m361,It Could Happen to You (1994),"['Drama', 'Romance']",a0000921
m362,"Jungle Book, The (1994)","['Adventure', ""Children's"", 'Romance']",a0814085
m363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",['Documentary'],a0618284
m364,"Lion King, The (1994)","['Animation', ""Children's"", 'Musical']",a0591450
m365,Little Buddha (1993),['Drama'],a0000934
m366,Wes Craven's New Nightmare (1994),['Horror'],a0000127
m367,"Mask, The (1994)","['Comedy', 'Crime', 'Fantasy']",a0751080
m368,Maverick (1994),"['Action', 'Comedy', 'Western']",a0001149
m369,Mrs. Parker and the Vicious Circle (1994),['Drama'],a0748928
m370,Naked Gun 33 1/3: The Final Insult (1994),['Comedy'],a0781842
m371,"Paper, The (1994)","['Comedy', 'Drama']",a0000165
m372,Reality Bites (1994),"['Comedy', 'Drama']",a0001774
m373,Red Rock West (1992),['Thriller'],a0001093
m374,Richie Rich (1994),"[""Children's"", 'Comedy']",a0677953
m375,Safe Passage (1994),['Drama'],
m376,"River Wild, The (1994)","['Action', 'Thriller']",a0000436
m377,Speed (1994),"['Action', 'Romance', 'Thriller']",a0000957
m378,Speechless (1994),"['Comedy', 'Romance']",a0881038
m379,Timecop (1994),"['Action', 'Sci-Fi']",a0001382
m380,True Lies (1994),"['Action', 'Adventure', 'Comedy', 'Romance']",a0000116
m381,When a Man Loves a Woman (1994),['Drama'],a0001502
m382,Wolf (1994),"['Drama', 'Horror']",a0001566
m383,Wyatt Earp (1994),['Western'],a0001410
m384,Bad Company (1995),['Action'],a0364578
m385,"Man of No Importance, A (1994)",['Drama'],a0471461
m386,S.F.W. (1994),['Drama'],a0506461
m387,"Low Down Dirty Shame, A (1994)","['Action', 'Comedy']",a0005540
m388,Boys Life (1995),['Drama'],a0805935
m389,"Colonel Chabert, Le (1994)","['Drama', 'Romance', 'War']",a0002174
m390,Faster Pussycat! Kill! Kill! (1965),"['Action', 'Comedy', 'Drama']",a0000540
m391,Jason's Lyric (1994),"['Crime', 'Drama']",a0570408
m392,"Secret Adventures of Tom Thumb, The (1993)","['Adventure', ""Children's""]",
m393,Street Fighter (1994),['Action'],a0211823
m394,Coldblooded (1995),['Action'],
m395,Desert Winds (1995),['Drama'],
m396,Fall Time (1995),['Drama'],
m397,"Fear, The (1995)",['Horror'],
m398,Frank and Ollie (1995),['Documentary'],
m399,Girl in the Cadillac (1995),['Drama'],
m400,Homage (1995),['Drama'],
m401,Mirage (1995),"['Action', 'Thriller']",
m402,Open Season (1996),['Comedy'],
m403,Two Crimes (1995),"['Comedy', 'Crime', 'Drama']",
m404,Brother Minister: The Assassination of Malcolm X (1994),['Documentary'],
m405,Highlander III: The Sorcerer (1994),"['Action', 'Sci-Fi']",a0602452
m406,Federal Hill (1994),['Drama'],a0180912
m407,In the Mouth of Madness (1995),"['Horror', 'Thriller']",a0000118
m408,8 Seconds (1994),['Drama'],a0000814
m409,Above the Rim (1994),['Drama'],a0689385
m410,Addams Family Values (1993),['Comedy'],a0001756
m411,You So Crazy (1994),['Comedy'],
m412,"Age of Innocence, The (1993)",['Drama'],a0000217
m413,Airheads (1994),['Comedy'],a0499724
m414,"Air Up There, The (1994)",['Comedy'],a0001274
m415,Another Stakeout (1993),"['Comedy', 'Thriller']",a0000824
m416,Bad Girls (1994),['Western'],a0438279
m417,Barcelona (1994),"['Comedy', 'Romance']",a0001775
m418,Being Human (1993),['Drama'],a0287025
m419,"Beverly Hillbillies, The (1993)",['Comedy'],a0790715
m420,Beverly Hills Cop III (1994),"['Action', 'Comedy']",a0000484
m421,Black Beauty (1994),"['Adventure', ""Children's""]",a0003031
m422,Blink (1994),['Thriller'],a0000776
m423,Blown Away (1994),"['Action', 'Thriller']",a0394280
m424,Blue Chips (1994),['Drama'],a0001243
m425,Blue Sky (1994),"['Drama', 'Romance']",a0724798
m426,Body Snatchers (1993),"['Horror', 'Sci-Fi', 'Thriller']",a0001206
m427,Boxing Helena (1993),"['Mystery', 'Romance', 'Thriller']",a0528337
m428,"Bronx Tale, A (1993)",['Drama'],a0000134
m429,Cabin Boy (1994),['Comedy'],a0720304
m430,Calendar Girl (1993),['Drama'],a0925870
m431,Carlito's Way (1993),"['Crime', 'Drama']",a0000361
m432,City Slickers II: The Legend of Curly's Gold (1994),"['Comedy', 'Western']",a0917992
m433,Clean Slate (1994),['Comedy'],a0413875
m434,Cliffhanger (1993),"['Action', 'Adventure', 'Crime']",a0001317
m435,Coneheads (1993),"['Comedy', 'Sci-Fi']",a0006625
m436,Color of Night (1994),"['Drama', 'Thriller']",a0750701
m437,Cops and Robbersons (1994),['Comedy'],a0006916
m438,"Cowboy Way, The (1994)","['Action', 'Comedy']",a0150707
m439,Dangerous Game (1993),['Drama'],
m440,Dave (1993),"['Comedy', 'Romance']",a0718645
m441,Dazed and Confused (1993),['Comedy'],a0000500
m442,Demolition Man (1993),"['Action', 'Sci-Fi']",a0104193
m443,"Endless Summer 2, The (1994)",['Documentary'],
m444,Even Cowgirls Get the Blues (1993),"['Comedy', 'Romance']",a0001814
m445,Fatal Instinct (1993),['Comedy'],a0005348
m446,Farewell My Concubine (1993),"['Drama', 'Romance']",a0155280
m447,"Favor, The (1994)","['Comedy', 'Romance']",
