movieId,title,genres,rating,director,votes,budget,gross
m32,Twelve Monkeys (1995),"['Drama', 'Sci-Fi']",8.0,a0000416,580233,"29,000,001","168,839,459"
m33,Wings of Courage (1995),"['Adventure', 'Romance']",,,,,
m34,Babe (1995),"[""Children's"", 'Comedy', 'Drama']",6.8,a0003088,117054,"30,000,000","254,134,910"
m35,Carrington (1995),"['Drama', 'Romance']",,,,,
m36,Dead Man Walking (1995),['Drama'],7.5,a0000209,88774,"11,000,000","83,088,295"
m37,Across the Sea of Time (1995),['Documentary'],,,,,
m38,It Takes Two (1995),['Comedy'],5.9,a0855035,20958,0,0
m39,Clueless (1995),"['Comedy', 'Romance']",6.8,a0002132,185524,"12,000,000","20,700,000"
m40,"Cry, the Beloved Country (1995)",['Drama'],6.8,a0740213,1683,0,0
m41,Richard III (1995),"['Drama', 'War']",7.4,a0518644,13762,"6,000,000",0
m42,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",6.9,a0400441,20036,"10,000,000",0
m43,Restoration (1995),['Drama'],6.6,a0001355,8898,"19,000,000",0
m44,Mortal Kombat (1995),"['Action', 'Adventure']",5.8,a0027271,103273,"18,000,000","122,195,920"
m45,To Die For (1995),"['Comedy', 'Drama']",6.8,a0001814,43842,"20,000,000",0
m46,How to Make an American Quilt (1995),"['Drama', 'Romance']",6.3,a0602104,10724,"10,000,000","41,174,130"
m47,Seven (Se7en) (1995),"['Crime', 'Thriller']",8.6,a0000399,1453025,"33,000,000","327,311,859"
m48,Pocahontas (1995),"['Animation', ""Children's"", 'Musical', 'Romance']",6.7,a0325196,171398,"55,000,000","346,079,773"
m49,When Night Is Falling (1995),"['Drama', 'Romance']",6.5,a0005390,6625,0,0
m50,"Usual Suspects, The (1995)","['Crime', 'Thriller']",8.5,a0001741,995251,"6,000,000","34,449,356"
m51,Guardian Angel (1994),"['Action', 'Drama', 'Thriller']",,,,,
m52,Mighty Aphrodite (1995),['Comedy'],7.0,a0000095,38164,"15,000,000",0
m53,Lamerica (1994),['Drama'],7.5,a0002167,2079,0,"4,788,331"
m54,"Big Green, The (1995)","[""Children's"", 'Comedy']",5.6,a0805965,9327,"12,000,000",0
m55,Georgia (1995),['Drama'],6.7,a0343260,2797,0,0
m56,Kids of the Round Table (1995),"['Adventure', ""Children's"", 'Fantasy']",,,,,
m57,Home for the Holidays (1995),['Drama'],6.6,a0000149,12176,"20,000,000",0
m58,"Postino, Il (The Postman) (1994)","['Drama', 'Romance']",7.7,a0873385,33731,"3,000,000","54,900,000"
m59,"Confessional, The (Le Confessionnal) (1995)","['Drama', 'Mystery']",,,,,
m60,"Indian in the Cupboard, The (1995)","['Adventure', ""Children's"", 'Fantasy']",6.0,a0000568,26348,"45,000,000",0
m61,Eye for an Eye (1996),"['Drama', 'Thriller']",6.2,a0772259,13578,"20,000,000","53,192,700"
m62,Mr. Holland's Opus (1995),['Drama'],7.3,a0378893,35697,"23,000,000","106,269,971"
m63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),['Comedy'],6.6,a0054077,48623,"3,800,000",0
m64,Two if by Sea (1996),"['Comedy', 'Romance']",5.3,a0071611,5399,0,0
m65,Bio-Dome (1996),['Comedy'],4.5,a0089176,26059,"15,000,000",0
m66,Lawnmower Man 2: Beyond Cyberspace (1996),"['Sci-Fi', 'Thriller']",2.5,a0542752,8969,"15,000,000",0
m67,Two Bits (1995),['Drama'],,,,,
m68,French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']",6.4,a0001929,4638,0,0
m69,Friday (1995),['Comedy'],7.3,a0336620,100704,"3,500,000","28,215,918"
m70,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']",7.2,a0001675,288004,"19,000,000","33,500,000"
m71,Fair Game (1995),['Action'],4.3,a0802617,12185,"50,000,000","26,134,477"
m72,Kicking and Screaming (1995),"['Comedy', 'Drama']",6.8,a0000876,12045,0,0
m73,"Misérables, Les (1995)","['Drama', 'Musical']",7.4,a0500988,3588,0,0
m74,Bed of Roses (1996),"['Drama', 'Romance']",6.1,a0325533,7866,0,0
m75,Big Bully (1996),"['Comedy', 'Drama']",4.7,a0591171,4559,"15,000,000",0
m76,Screamers (1995),"['Sci-Fi', 'Thriller']",6.4,a0240995,25269,"20,000,000",0
m77,Nico Icon (1995),['Documentary'],7.2,a0644467,673,0,0
m78,"Crossing Guard, The (1995)",['Drama'],6.3,a0000576,12748,"9,000,000",0
m79,"Juror, The (1996)","['Drama', 'Thriller']",5.7,a0001270,17360,"44,000,000","63,054,725"
m80,"White Balloon, The (Badkonake Sefid ) (1995)",['Drama'],7.7,a0070159,6739,"150,000",0
m81,Things to Do in Denver when You're Dead (1995),"['Crime', 'Drama', 'Romance']",6.8,a0001219,26175,"7,000,000",0
m82,Antonia's Line (Antonia) (1995),['Drama'],7.4,a0331296,8269,"1,500,000",0
m83,Once Upon a Time... When We Were Colored (1995),['Drama'],7.2,a0005347,471,0,0
m84,Last Summer in the Hamptons (1995),"['Comedy', 'Drama']",,,,,
m85,Angels and Insects (1995),"['Drama', 'Romance']",6.8,a0351993,4406,"4,997,987",0
m86,White Squall (1996),"['Adventure', 'Drama']",6.6,a0000631,21199,"38,000,000",0
m87,Dunston Checks In (1996),"[""Children's"", 'Comedy']",5.4,a0477129,11931,0,0
m88,Black Sheep (1996),['Comedy'],6.3,a0790715,36796,0,0
m89,Nick of Time (1995),"['Action', 'Thriller']",6.3,a0000824,39375,"33,000,000",0
m90,"Journey of August King, The (1995)",['Drama'],,,,,
m92,Mary Reilly (1996),"['Drama', 'Thriller']",5.8,a0001241,14104,"47,000,000","12,272,308"
m93,Vampire in Brooklyn (1995),"['Comedy', 'Romance']",4.6,a0000127,21849,"20,000,000","28,051,736"
m94,Beautiful Girls (1996),['Drama'],7.1,a0001130,31404,0,0
m95,Broken Arrow (1996),"['Action', 'Thriller']",6.1,a0000247,91121,"50,000,000","150,270,147"
m96,In the Bleak Midwinter (1995),['Comedy'],7.2,a0000110,2384,0,0
m97,"Hate (Haine, La) (1995)",['Drama'],8.1,a0440913,151385,"2,590,000",0
m98,Shopping (1994),"['Action', 'Thriller']",,,,,
m99,Heidi Fleiss: Hollywood Madam (1995),['Documentary'],6.5,a0112374,659,0,0
m100,City Hall (1996),"['Drama', 'Thriller']",6.2,a0000887,19568,"40,000,000","13,100,000"
m101,Bottle Rocket (1996),['Comedy'],7.0,a0027572,70073,"7,000,000",0
m102,Mr. Wrong (1996),['Comedy'],3.9,a0145309,4800,0,0
m103,Unforgettable (1996),['Thriller'],6.0,a0001093,4938,"18,000,000",0
m104,Happy Gilmore (1996),['Comedy'],7.0,a0240797,198199,"12,000,000",0
m105,"Bridges of Madison County, The (1995)","['Drama', 'Romance']",7.6,a0000142,73539,"24,000,000","182,016,617"
m106,Nobody Loves Me (Keiner liebt mich) (1994),"['Comedy', 'Drama']",7.1,a0246903,1133,0,0
m107,Muppet Treasure Island (1996),"['Adventure', ""Children's"", 'Comedy', 'Musical']",7.0,a0485298,21856,0,"4,259,710"
m108,Catwalk (1995),['Documentary'],7.0,a0494889,262,0,0
m109,Headless Body in Topless Bar (1995),['Comedy'],,,,,
m110,Braveheart (1995),"['Action', 'Drama', 'War']",8.3,a0000154,962502,"72,000,000","210,409,945"
m111,Taxi Driver (1976),"['Drama', 'Thriller']",8.2,a0000217,728741,"1,300,000","7,638,468"
m112,Rumble in the Bronx (1995),"['Action', 'Adventure', 'Crime']",6.8,a0867262,39049,"7,500,000","39,748,899"
m113,Before and After (1996),"['Drama', 'Mystery']",6.1,a0775447,8216,"35,000,000",0
m114,Margaret's Museum (1995),['Drama'],,,,,
m115,Happiness Is in the Field (1995),['Comedy'],,,,,
m116,Anne Frank Remembered (1995),['Documentary'],8.0,a0086282,1063,0,0
m117,"Young Poisoner's Handbook, The (1995)",['Crime'],7.1,a0743239,3440,0,0
m118,If Lucy Fell (1996),"['Comedy', 'Romance']",4.9,a0769703,3804,"5,000,000",0
m119,"Steal Big, Steal Little (1995)",['Comedy'],4.8,a0001112,900,"25,000,000",0
m120,Race the Sun (1996),['Drama'],,,,,
m121,"Boys of St. Vincent, The (1993)",['Drama'],7.5,a0808807,1598,0,0
m122,Boomerang (1992),"['Comedy', 'Romance']",5.5,a0399737,26212,"40,000,000","131,100,000"
m123,Chungking Express (1994),"['Drama', 'Mystery', 'Romance']",8.1,a0939182,63764,0,0
m124,"Star Maker, The (Uomo delle stelle, L') (1995)",['Drama'],,,,,
m125,Flirting With Disaster (1996),['Comedy'],6.7,a0751102,17754,"7,000,000",0
m126,"NeverEnding Story III, The (1994)","['Adventure', ""Children's"", 'Fantasy']",3.2,a0003423,10748,"17,000,000","1,331,408"
m127,"Silence of the Palace, The (Saimt el Qusur) (1994)",['Drama'],,,,,
m128,Jupiter's Wife (1994),['Documentary'],7.2,a0624516,231,0,0
m129,Pie in the Sky (1995),"['Comedy', 'Romance']",5.7,a0330057,797,0,0
m130,Angela (1995),['Drama'],,,,,
m131,Frankie Starlight (1995),"['Drama', 'Romance']",,,,,
m132,Jade (1995),['Thriller'],5.3,a0001243,11532,"50,000,000",0
m133,Nueba Yol (1995),"['Comedy', 'Drama']",,,,,
m134,Sonic Outlaws (1995),['Documentary'],,,,,
m135,Down Periscope (1996),['Comedy'],6.2,a0911486,21100,"31,000,000","11,768,149"
m136,From the Journals of Jean Seberg (1995),['Documentary'],,,,,
m137,Man of the Year (1995),['Documentary'],5.8,a0787257,311,0,0
m138,"Neon Bible, The (1995)",['Drama'],,,,,
m139,Target (1995),"['Action', 'Drama']",,,,,
m140,Up Close and Personal (1996),"['Drama', 'Romance']",6.2,a0000816,13498,"60,000,000","100,688,705"
m141,"Birdcage, The (1996)",['Comedy'],7.1,a0001566,80202,"31,000,000","185,260,553"
m142,Shadows (Cienie) (1988),['Drama'],,,,,
m143,Gospa (1995),['Drama'],,,,,
m144,"Brothers McMullen, The (1995)",['Comedy'],6.6,a0122653,7438,"25,000",0
m145,Bad Boys (1995),['Action'],6.9,a0000881,241200,"19,000,000","141,407,024"
m146,"Amazing Panda Adventure, The (1995)","['Adventure', ""Children's""]",5.8,a0128883,3871,0,0
m147,"Basketball Diaries, The (1995)",['Drama'],7.3,a0436284,102571,"2,000,000",0
m148,"Awfully Big Adventure, An (1995)",['Drama'],6.0,a0001565,2609,"4,000,000",0
m149,Amateur (1994),"['Crime', 'Drama', 'Thriller']",6.9,a0001325,5684,"2,300,000",0
m150,Apollo 13 (1995),['Drama'],7.6,a0000165,270437,"52,000,000","355,237,933"
m151,Rob Roy (1995),"['Drama', 'Romance', 'War']",6.9,a0001994,40531,"28,000,000","65,000"
m152,"Addiction, The (1995)",['Horror'],6.5,a0001206,9003,0,0
m153,Batman Forever (1995),"['Action', 'Adventure', 'Comedy', 'Crime']",5.4,a0001708,235576,"100,000,000","152,500,000"
m154,Belle de jour (1967),['Drama'],7.7,a0000320,40468,0,0
m155,Beyond Rangoon (1995),"['Drama', 'War']",6.6,a0000958,4822,"23,000,000","14,700,000"
m156,Blue in the Face (1995),['Comedy'],6.7,a0910905,9066,"2,000,000",0
m157,Canadian Bacon (1994),"['Comedy', 'War']",6.0,a0601619,16098,"11,000,000",0
m158,Casper (1995),"['Adventure', ""Children's""]",6.1,a0797869,122199,"50,000,000","287,928,194"
m159,Clockers (1995),['Drama'],6.9,a0000490,20869,"25,000,000",0
m160,Congo (1995),"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",5.3,a0550881,42492,"50,000,000","152,022,101"
m161,Crimson Tide (1995),"['Drama', 'Thriller', 'War']",7.3,a0001716,102217,"53,000,000","66,000,000"
m162,Crumb (1994),['Documentary'],8.0,a0959062,18632,0,0
m163,Desperado (1995),"['Action', 'Romance', 'Thriller']",7.2,a0001675,171862,"7,000,000",0
m164,Devil in a Blue Dress (1995),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",6.7,a0002083,17706,"27,000,000",0
m165,Die Hard: With a Vengeance (1995),"['Action', 'Thriller']",7.6,a0001532,365164,"90,000,000","366,101,666"
m166,"Doom Generation, The (1995)","['Comedy', 'Drama']",6.2,a0000777,13847,0,0
m167,Feast of July (1995),['Drama'],,,,,
m168,First Knight (1995),"['Action', 'Adventure', 'Drama', 'Romance']",6.0,a0958387,68611,"55,000,000","127,600,435"
m169,Free Willy 2: The Adventure Home (1995),"['Adventure', ""Children's"", 'Drama']",5.1,a0514546,17165,0,0
m170,Hackers (1995),"['Action', 'Crime', 'Thriller']",6.3,a0812200,65495,"20,000,000",0
m171,Jeffrey (1995),['Comedy'],6.8,a2259353,5750,0,0
m172,Johnny Mnemonic (1995),"['Action', 'Sci-Fi', 'Thriller']",5.7,a0519434,66989,"26,000,000","33,300,000"
m173,Judge Dredd (1995),"['Action', 'Adventure', 'Sci-Fi']",5.6,a0134176,110683,"70,000,000","113,493,481"
m174,Jury Duty (1995),['Comedy'],4.4,a0287198,7512,0,0
m175,Kids (1995),['Drama'],7.1,a0164187,73251,"1,500,000","20,000,000"
m176,Living in Oblivion (1995),['Comedy'],7.5,a0001139,16712,"500,000",0
m177,Lord of Illusions (1995),['Horror'],6.1,a0000850,14895,"12,000,000",0
m178,Love & Human Remains (1993),['Comedy'],6.7,a0000780,2450,0,0
m179,Mad Love (1995),"['Drama', 'Romance']",5.4,a0000944,6137,0,0
m180,Mallrats (1995),['Comedy'],7.1,a0003620,116272,"8,000,000",0
m181,Mighty Morphin Power Rangers: The Movie (1995),"['Action', ""Children's""]",5.2,a0818465,25309,"20,000,000","66,433,194"
m182,Moonlight and Valentino (1995),"['Drama', 'Romance']",,,,,
m183,Mute Witness (1994),['Thriller'],6.7,a0909026,5315,"2,000,000",0
m184,Nadja (1994),['Drama'],6.0,a0021899,2945,"1,000,000",0
m185,"Net, The (1995)","['Sci-Fi', 'Thriller']",6.0,a0005563,60974,"22,000,000","110,627,965"
m186,Nine Months (1995),['Comedy'],5.5,a0001060,35244,0,"138,510,230"
m187,Party Girl (1995),['Comedy'],6.6,a0902939,4623,"150,000",0
m188,"Prophecy, The (1995)",['Horror'],6.5,a0927074,29209,"8,000,000",0
m189,Reckless (1995),['Comedy'],5.4,a0720000,421,0,0
m190,Safe (1995),['Thriller'],7.2,a0001331,13454,"1,000,000",0
m191,"Scarlet Letter, The (1995)",['Drama'],5.4,a0423646,14429,"50,000,000",0
m192,"Show, The (1995)",['Documentary'],,,,,
m193,Showgirls (1995),['Drama'],4.9,a0000682,62709,"45,000,000","37,702,961"
m194,Smoke (1995),['Drama'],7.4,a0911061,33149,"7,000,000",0
m195,Something to Talk About (1995),"['Comedy', 'Drama', 'Romance']",5.7,a0002120,12762,0,"77,333,797"
m196,Species (1995),"['Horror', 'Sci-Fi']",5.8,a0002044,74482,"35,000,000","113,374,103"
m197,"Stars Fell on Henrietta, The (1995)",['Drama'],,,,,
m198,Strange Days (1995),"['Action', 'Crime', 'Sci-Fi']",7.2,a0000941,67415,"42,000,000",0
m199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","['Drama', 'Musical']",7.8,a0218840,23902,0,0
m200,"Tie That Binds, The (1995)",['Thriller'],,,,,
m201,Three Wishes (1995),['Drama'],6.2,a0004838,2813,"10,000,000",0
m202,Total Eclipse (1995),"['Drama', 'Romance']",6.6,a0002140,13356,"8,000,000",0
m203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",['Comedy'],6.6,a0452319,28734,0,"47,774,193"
m204,Under Siege 2: Dark Territory (1995),['Action'],5.5,a0614276,44002,"60,000,000","104,324,083"
m205,Unstrung Heroes (1995),"['Comedy', 'Drama']",6.7,a0000473,2973,0,0
m206,Unzipped (1995),['Documentary'],6.6,a0444857,1056,0,0
m207,"Walk in the Clouds, A (1995)","['Drama', 'Romance']",6.7,a0000778,31760,"20,000,000",0
m208,Waterworld (1995),"['Action', 'Adventure']",6.2,a0721817,180952,"175,000,000","264,218,220"
m209,White Man's Burden (1995),['Drama'],5.3,a0620290,4610,"7,000,000",0
m210,Wild Bill (1995),['Western'],5.9,a0001353,6503,"30,000,000",0
m211,"Browning Version, The (1994)",['Drama'],7.2,a0001214,3026,0,0
m212,Bushwhacked (1995),['Comedy'],5.6,a0066439,5618,0,0
m213,Burnt By the Sun (Utomlyonnye solntsem) (1994),['Drama'],7.9,a0586482,14414,"2,800,000",0
m214,Before the Rain (Pred dozhdot) (1994),['Drama'],8.0,a0541391,13855,"1,900,000",0
m215,Before Sunrise (1995),"['Drama', 'Romance']",8.1,a0000500,273939,"2,500,000","22,600,000"
m216,Billy Madison (1995),['Comedy'],6.4,a0205542,131910,"10,000,000",0
m217,"Babysitter, The (1995)","['Drama', 'Thriller']",4.3,a0272704,4718,"2,000,000",0
m218,Boys on the Side (1995),"['Comedy', 'Drama']",6.5,a0006889,11915,"21,000,000",0
m219,"Cure, The (1995)",['Drama'],7.7,a0005022,9184,0,0
m220,Castle Freak (1995),['Horror'],6.0,a0002340,7323,0,0
m222,Circle of Friends (1995),"['Drama', 'Romance']",6.6,a0640466,8008,0,0
m223,Clerks (1994),['Comedy'],7.7,a0003620,211811,"27,575",0
m224,Don Juan DeMarco (1995),"['Comedy', 'Drama', 'Romance']",6.7,a0505230,48336,"25,000,000","68,792,531"
m225,Disclosure (1994),"['Drama', 'Thriller']",6.1,a0001469,46601,"55,000,000","214,015,089"
m226,Dream Man (1995),['Thriller'],,,,,
m227,Drop Zone (1994),['Action'],5.6,a0000824,19244,"45,000,000",0
m228,Destiny Turns on the Radio (1995),['Comedy'],4.6,a0052944,2257,0,0
m229,Death and the Maiden (1994),"['Drama', 'Thriller']",7.3,a0000591,22801,"12,000,000",0
m230,Dolores Claiborne (1994),"['Drama', 'Thriller']",7.4,a0000431,39285,0,"22,000,000"
m231,Dumb & Dumber (1994),['Comedy'],7.3,a0125803,354126,"16,000,000","247,275,374"
m232,Eat Drink Man Woman (1994),"['Comedy', 'Drama']",7.8,a0000487,18867,0,0
m233,Exotica (1994),['Drama'],7.0,a0000382,18093,"2,000,000",0
m234,Exit to Eden (1994),['Comedy'],4.3,a0005190,6499,"25,000,000",0
m235,Ed Wood (1994),"['Comedy', 'Drama']",7.8,a0000318,165267,"18,000,000",0
m236,French Kiss (1995),"['Comedy', 'Romance']",6.6,a0001410,47073,0,"101,982,854"
m237,Forget Paris (1995),"['Comedy', 'Romance']",6.5,a0000345,11476,0,0
m238,Far From Home: The Adventures of Yellow Dog (1995),"['Adventure', ""Children's""]",6.4,a0097491,2634,0,0
m239,"Goofy Movie, A (1995)","['Animation', ""Children's"", 'Comedy', 'Romance']",6.9,a0510674,46515,"18,000,000",0
m240,Hideaway (1995),['Thriller'],5.3,a0502577,6328,"15,000,000",0
m241,Fluke (1995),"[""Children's"", 'Drama']",6.7,a0137363,6508,"15,000,000",0
m242,Farinelli: il castrato (1994),"['Drama', 'Musical']",6.8,a0179216,6368,0,0
m243,Gordy (1995),['Comedy'],3.8,a0507502,1855,0,0
m244,Gumby: The Movie (1995),"['Animation', ""Children's""]",,,,,
m245,"Glass Shield, The (1994)","['Crime', 'Drama']",,,,,
m246,Hoop Dreams (1994),['Documentary'],8.3,a0416945,24507,"700,000","11,830,611"
m247,Heavenly Creatures (1994),"['Drama', 'Fantasy', 'Romance', 'Thriller']",7.3,a0001392,58936,"5,000,000",0
m248,Houseguest (1994),['Comedy'],6.0,a0589168,6513,"10,500,000",0
m249,Immortal Beloved (1994),"['Drama', 'Romance']",7.4,a0741262,23356,0,0
m250,Heavyweights (1994),"[""Children's"", 'Comedy']",6.7,a0109359,25407,0,0
m251,"Hunted, The (1995)",['Action'],6.0,a0493369,4777,"20,000,000",0
m252,I.Q. (1994),"['Comedy', 'Romance']",6.2,a0770961,23658,"25,000,000",0
m253,Interview with the Vampire (1994),"['Drama', 'Horror']",7.5,a0001403,295708,"60,000,000","223,664,608"
m254,Jefferson in Paris (1995),['Drama'],5.8,a0412465,2797,"14,000,000",0
m255,"Jerky Boys, The (1994)",['Comedy'],4.9,a0577849,2452,"7,000,000",0
m256,Junior (1994),"['Comedy', 'Sci-Fi']",4.6,a0718645,65195,"60,000,000","108,431,355"
m257,Just Cause (1995),"['Mystery', 'Thriller']",6.4,a0322865,24608,0,0
m258,"Kid in King Arthur's Court, A (1995)","['Adventure', ""Children's"", 'Comedy', 'Fantasy', 'Romance']",4.7,a0331998,5751,"15,000,000",0
m259,Kiss of Death (1995),"['Crime', 'Drama', 'Thriller']",5.9,a0775447,16932,"40,000,000",0
m260,Star Wars: Episode IV - A New Hope (1977),"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",8.6,a0000184,1236274,"11,000,000","775,398,007"
m261,Little Women (1994),['Drama'],7.3,a0000788,52569,"15,000,000",0
m262,"Little Princess, A (1995)","[""Children's"", 'Drama']",7.7,a0190859,32352,"17,000,000",0
m263,Ladybird Ladybird (1994),['Drama'],7.4,a0516360,3231,"38,976,598",0
m264,"Enfer, L' (1994)",['Drama'],,,,,
m265,Like Water for Chocolate (Como agua para chocolate) (1992),"['Drama', 'Romance']",7.1,a0000778,16936,"2,000,000",0
m266,Legends of the Fall (1994),"['Drama', 'Romance', 'War', 'Western']",7.6,a0001880,150001,"30,000,000","160,638,883"
m267,Major Payne (1994),['Comedy'],6.3,a0145309,30809,0,0
m268,Little Odessa (1994),['Drama'],,,,,
m269,My Crazy Life (Mi vida loca) (1993),['Drama'],6.5,a0025978,1979,0,0
m270,Love Affair (1994),"['Drama', 'Romance']",6.0,a0139111,4405,"60,000,000",0
m271,Losing Isaiah (1995),['Drama'],6.5,a0350455,5493,"17,000,000","900,000"
m272,"Madness of King George, The (1994)",['Drama'],7.2,a0405336,15503,"65,897,768",0
m273,Mary Shelley's Frankenstein (1994),"['Drama', 'Horror']",6.4,a0000110,51725,"45,000,000","112,006,296"
m274,Man of the House (1995),['Comedy'],5.2,a0650561,8720,0,0
m275,Mixed Nuts (1994),['Comedy'],5.5,a0001188,10725,"15,000,000",0
m276,Milk Money (1994),"['Comedy', 'Romance']",5.6,a0000907,11451,0,0
m277,Miracle on 34th Street (1994),['Drama'],6.6,a0562645,32907,0,"46,138,104"
m278,Miami Rhapsody (1995),['Comedy'],5.4,a0291205,3078,0,0
m279,My Family (1995),['Drama'],7.3,a0622695,3727,"5,500,000",0
m280,Murder in the First (1995),"['Drama', 'Thriller']",7.3,a0733692,26756,0,0
m281,Nobody's Fool (1994),['Drama'],7.4,a0000914,18747,"20,000,000",0
m282,Nell (1994),['Drama'],6.5,a0000776,27393,"31,000,000","106,683,817"
m283,New Jersey Drive (1995),"['Crime', 'Drama']",6.7,a0327064,2865,"5,000,000",0
m284,New York Cop (1996),"['Action', 'Crime']",4.2,a0613498,192,0,0
m285,Beyond Bedlam (1993),"['Drama', 'Horror']",3.3,a0419884,463,"3,000,000",0
m286,Nemesis 2: Nebula (1995),"['Action', 'Sci-Fi', 'Thriller']",,,,,
m287,Nina Takes a Lover (1994),"['Comedy', 'Romance']",5.5,a0414312,571,0,0
m288,Natural Born Killers (1994),"['Action', 'Thriller']",7.3,a0000231,217530,"34,000,000",0
m289,Only You (1994),"['Comedy', 'Romance']",6.5,a0422484,20820,0,0
m290,Once Were Warriors (1994),"['Crime', 'Drama']",7.9,a0848414,31670,0,0
m291,Poison Ivy II (1995),['Thriller'],4.5,a0258424,5462,0,0
m292,Outbreak (1995),"['Action', 'Drama', 'Thriller']",6.6,a0000583,120552,"50,000,000","189,859,560"
m293,"Professional, The (a.k.a. Leon: The Professional) (1994)","['Crime', 'Drama', 'Romance', 'Thriller']",8.5,a0000108,1040458,"115,000,000","45,501,238"
m294,"Perez Family, The (1995)","['Comedy', 'Romance']",6.1,a0619762,2113,"11,000,000",0
m295,"Pyromaniac's Love Story, A (1995)","['Comedy', 'Romance']",5.4,a0104481,965,0,0
m296,Pulp Fiction (1994),"['Crime', 'Drama']",8.9,a0000233,1835023,"8,000,000","213,928,762"
m297,Panther (1995),['Drama'],,,,,
m298,Pushing Hands (1992),['Comedy'],7.3,a0000487,3754,"400,000",0
m299,Priest (1994),['Drama'],7.0,a0000944,9681,0,0
m300,Quiz Show (1994),['Drama'],7.5,a0000602,64858,"31,000,000",0
m301,Picture Bride (1995),"['Drama', 'Romance']",6.6,a0368981,1058,0,0
m302,Queen Margot (La Reine Margot) (1994),"['Drama', 'Romance']",7.4,a0161717,16366,"42,000,000",0
m303,"Quick and the Dead, The (1995)","['Action', 'Adventure', 'Western']",6.4,a0000600,86060,"32,000,000",0
m304,Roommates (1995),"['Comedy', 'Drama']",6.4,a0946811,1737,"22,000,000","12,400,000"
